;actor_loss;Steps;Wall_Time
1418;-64.17900085449219;3630080;1649630714.0986135
1419;-59.95899200439453;3632640;1649630714.1639655
1420;-61.29625701904297;3635200;1649630714.2309113
1421;-61.10490036010742;3637760;1649630714.2989333
1422;-58.890140533447266;3640320;1649630714.3668444
1423;-60.21089172363281;3642880;1649630714.4333277
1424;-62.75484848022461;3645440;1649630714.4977138
1425;-61.67514419555664;3648000;1649630714.5661771
1426;-60.46227264404297;3650560;1649630714.6314085
1427;-60.895263671875;3653120;1649630714.701004
1428;-62.31529235839844;3655680;1649630714.7607803
1429;-63.0029182434082;3658240;1649630714.8232615
1430;-62.091758728027344;3660800;1649630714.8874652
1431;-61.527679443359375;3663360;1649630714.9449973
1432;-57.99544906616211;3665920;1649630715.0090408
1433;-61.26835632324219;3668480;1649630715.0675092
1434;-60.881221771240234;3671040;1649630715.1261177
1435;-60.153114318847656;3673600;1649630715.186776
1436;-57.84773635864258;3676160;1649630715.2484107
1437;-58.41541290283203;3678720;1649630715.313504
1438;-57.89994812011719;3681280;1649630715.3709064
1439;-59.06861877441406;3683840;1649630715.4261107
1440;-54.372772216796875;3686400;1649630715.4856634
1441;-56.54361343383789;3688960;1649630715.5496264
1442;-57.41261291503906;3691520;1649630715.6157928
1443;-53.00421905517578;3694080;1649630715.6803973
1444;-55.09185791015625;3696640;1649630715.741837
1445;-53.54890823364258;3699200;1649630715.8172452
1446;-52.84178161621094;3701760;1649630715.8935332
1447;-55.01594161987305;3704320;1649630715.963707
1448;-54.53160095214844;3706880;1649630716.0219874
1449;-56.02623748779297;3709440;1649630716.0989695
1450;-53.43947982788086;3712000;1649630716.165757
1451;-53.187049865722656;3714560;1649630716.238901
1452;-55.577919006347656;3717120;1649630716.3069282
1453;-54.810340881347656;3719680;1649630716.3632326
1454;-55.986854553222656;3722240;1649630716.4233077
1455;-56.5535774230957;3724800;1649630716.4808424
1456;-53.812782287597656;3727360;1649630716.542594
1457;-56.564979553222656;3729920;1649630716.609595
1458;-52.64223861694336;3732480;1649630716.6716723
1459;-56.06769561767578;3735040;1649630716.7268145
1460;-54.46996307373047;3737600;1649630716.7907252
1461;-54.46036911010742;3740160;1649630716.8615043
1462;-54.031097412109375;3742720;1649630716.9242525
1463;-55.997947692871094;3745280;1649630716.9886363
1464;-50.049354553222656;3747840;1649630717.0472994
1465;-54.32879638671875;3750400;1649630717.1033952
1466;-50.8533935546875;3752960;1649630717.1591122
1467;-53.52703857421875;3755520;1649630717.2139359
1468;-51.20649719238281;3758080;1649630717.26971
1469;-51.441123962402344;3760640;1649630717.3247347
1470;-51.73246383666992;3763200;1649630717.3825374
1471;-50.600494384765625;3765760;1649630717.446125
1472;-54.491127014160156;3768320;1649630717.5102177
1473;-53.517181396484375;3770880;1649630717.5774255
1474;-54.395484924316406;3773440;1649630717.6395998
1475;-51.86006164550781;3776000;1649630717.7016616
1476;-53.09368896484375;3778560;1649630717.761701
1477;-52.96752166748047;3781120;1649630717.8178306
1478;-54.22243881225586;3783680;1649630717.8755422
1479;-50.0108528137207;3786240;1649630717.9378054
1480;-53.40937423706055;3788800;1649630718.0014977
1481;-51.59728240966797;3791360;1649630718.0554893
1482;-55.62556076049805;3793920;1649630718.1095915
1483;-52.190101623535156;3796480;1649630718.1622643
1484;-56.3542366027832;3799040;1649630718.2143068
1485;-52.45415496826172;3801600;1649630718.2787635
1486;-53.98382568359375;3804160;1649630718.3384426
1487;-53.62521743774414;3806720;1649630718.4045382
1488;-53.129066467285156;3809280;1649630718.4663248
1489;-52.44805145263672;3811840;1649630718.5288563
1490;-55.34087371826172;3814400;1649630718.5845315
1491;-55.08720779418945;3816960;1649630718.6405094
1492;-53.52941131591797;3819520;1649630718.6989198
1493;-54.72431564331055;3822080;1649630718.758946
1494;-54.321754455566406;3824640;1649630718.8158135
1495;-57.74156188964844;3827200;1649630718.8710623
1496;-56.68941879272461;3829760;1649630718.9282594
1497;-56.425201416015625;3832320;1649630718.9813507
1498;-53.94649887084961;3834880;1649630719.0383086
1499;-55.416847229003906;3837440;1649630719.093472
1500;-55.740234375;3840000;1649630719.4568598
1501;-54.7537956237793;3842560;1649630719.5172358
1502;-56.15376281738281;3845120;1649630719.5728395
1503;-51.54176330566406;3847680;1649630719.6244726
1504;-55.30835723876953;3850240;1649630719.6789076
1505;-55.44435501098633;3852800;1649630719.7363338
1506;-53.65100860595703;3855360;1649630719.7919188
1507;-54.306182861328125;3857920;1649630719.8484604
1508;-53.775062561035156;3860480;1649630719.9047203
1509;-51.96763610839844;3863040;1649630719.9590516
1510;-57.09296798706055;3865600;1649630720.0152478
1511;-52.82936096191406;3868160;1649630720.0701802
1512;-51.66436004638672;3870720;1649630720.127319
1513;-53.958152770996094;3873280;1649630720.1911366
1514;-52.41361999511719;3875840;1649630720.2501009
1515;-52.779319763183594;3878400;1649630720.3114471
1516;-51.520938873291016;3880960;1649630720.3928394
1517;-51.268882751464844;3883520;1649630720.4535942
1518;-49.67987823486328;3886080;1649630720.5136359
1519;-50.22405242919922;3888640;1649630720.5717247
1520;-53.52830505371094;3891200;1649630720.6331124
1521;-50.74358367919922;3893760;1649630720.6943371
1522;-48.04656982421875;3896320;1649630720.7534013
1523;-47.557334899902344;3898880;1649630720.8125458
1524;-49.858306884765625;3901440;1649630720.866132
1525;-49.45799255371094;3904000;1649630720.9255118
1526;-51.79256057739258;3906560;1649630720.979779
1527;-52.846107482910156;3909120;1649630721.034212
1528;-51.04008483886719;3911680;1649630721.0878646
1529;-50.586734771728516;3914240;1649630721.1440415
1530;-53.33766174316406;3916800;1649630721.194763
1531;-52.533973693847656;3919360;1649630721.2508752
1532;-53.57146072387695;3921920;1649630721.3184054
1533;-55.07063293457031;3924480;1649630721.384186
1534;-58.528282165527344;3927040;1649630721.4438367
1535;-58.52588653564453;3929600;1649630721.5165663
1536;-57.34680938720703;3932160;1649630721.581033
1537;-61.03120422363281;3934720;1649630721.6386278
1538;-61.43464660644531;3937280;1649630721.7016494
1539;-63.40103530883789;3939840;1649630721.765759
1540;-63.882259368896484;3942400;1649630721.8342848
1541;-60.3486442565918;3944960;1649630721.898092
1542;-59.823524475097656;3947520;1649630721.9624233
1543;-57.87363815307617;3950080;1649630722.0195029
1544;-60.12493896484375;3952640;1649630722.0767934
1545;-58.327880859375;3955200;1649630722.1346416
1546;-56.22134017944336;3957760;1649630722.1893861
1547;-60.27227020263672;3960320;1649630722.2450414
1548;-61.059425354003906;3962880;1649630722.2991052
1549;-55.355403900146484;3965440;1649630722.3570395
1550;-59.63280487060547;3968000;1649630722.4175267
1551;-56.85744857788086;3970560;1649630722.4778051
1552;-54.69871520996094;3973120;1649630722.5379605
1553;-50.673675537109375;3975680;1649630722.5954597
1554;-56.3399658203125;3978240;1649630722.6456602
1555;-51.746299743652344;3980800;1649630722.6986465
1556;-53.23054504394531;3983360;1649630722.7532237
1557;-49.848419189453125;3985920;1649630722.8147144
1558;-50.71330261230469;3988480;1649630722.8722973
1559;-49.65162658691406;3991040;1649630722.9297616
1560;-46.14302444458008;3993600;1649630722.9841535
1561;-49.95469665527344;3996160;1649630723.0503314
1562;-44.42911148071289;3998720;1649630723.1081705
1563;-48.192596435546875;4001280;1649630723.1752906
1564;-44.54801559448242;4003840;1649630723.232622
1565;-43.97638702392578;4006400;1649630723.287716
1566;-43.531280517578125;4008960;1649630723.3494449
1567;-42.36048889160156;4011520;1649630723.4152944
1568;-42.10945129394531;4014080;1649630723.4733772
1569;-43.571102142333984;4016640;1649630723.5290775
