;grad_norm_clipped;Steps;Wall_Time
614;1.0;15718400;1649682574.2612102
615;1.0;15744000;1649682574.3744173
616;1.0;15769600;1649682574.485334
617;1.0;15795200;1649682574.5923233
618;1.0;15820800;1649682574.6995013
619;1.0;15846400;1649682574.8048987
620;1.0;15872000;1649682574.9136863
621;1.0;15897600;1649682575.0316584
622;1.0;15923200;1649682575.1388788
623;1.0;15948800;1649682575.2416754
624;1.0;15974400;1649682575.350353
625;1.0;16000000;1649682575.4578936
626;1.0;16025600;1649682575.5653274
627;1.0;16051200;1649682575.6763487
628;1.0;16076800;1649682575.7915273
629;1.0;16102400;1649682575.8977735
630;1.0;16128000;1649682576.0041192
631;1.0;16153600;1649682576.1160045
632;1.0;16179200;1649682576.2231421
633;1.0;16204800;1649682576.3339732
634;1.0;16230400;1649682576.440834
635;1.0;16256000;1649682576.552886
636;1.0;16281600;1649682576.6565678
637;1.0;16307200;1649682576.7654743
638;1.0;16332800;1649682576.8728647
639;1.0;16358400;1649682576.9857402
640;1.0;16384000;1649682577.094755
641;1.0;16409600;1649682577.2052329
642;1.0;16435200;1649682577.3168647
643;1.0;16460800;1649682577.428204
644;1.0;16486400;1649682577.5373325
645;1.0;16512000;1649682577.64158
646;1.0;16537600;1649682577.7543693
647;1.0;16563200;1649682577.8650453
648;1.0;16588800;1649682577.9835443
649;1.0;16614400;1649682578.0935714
650;1.0;16640000;1649682578.2004855
651;1.0;16665600;1649682578.318316
652;1.0;16691200;1649682578.4314954
653;1.0;16716800;1649682578.538962
654;1.0;16742400;1649682578.649927
655;1.0;16768000;1649682578.7547455
656;1.0;16793600;1649682578.8612835
657;1.0;16819200;1649682578.971236
658;1.0;16844800;1649682579.0822337
659;1.0;16870400;1649682579.19366
660;1.0;16896000;1649682579.303156
661;1.0;16921600;1649682579.4151838
662;1.0;16947200;1649682579.526353
663;1.0;16972800;1649682579.6367354
664;1.0;16998400;1649682579.7678208
665;1.0;17024000;1649682579.888666
