;Critic2LR;Steps;Wall_Time
219;9.999999747378752e-06;296320;1651185076.6768553
220;9.999999747378752e-06;297600;1651185079.3617115
221;9.999999747378752e-06;298240;1651185080.7059636
222;9.999999747378752e-06;298880;1651185081.8946495
223;9.999999747378752e-06;300160;1651185084.4323697
224;9.999999747378752e-06;304640;1651185093.016901
225;9.999999747378752e-06;307200;1651185097.8255472
226;9.999999747378752e-06;309760;1651185102.6720402
227;9.999999747378752e-06;310400;1651185103.851459
228;9.999999747378752e-06;312320;1651185107.5608652
229;9.999999747378752e-06;314880;1651185112.3314588
230;9.999999747378752e-06;315520;1651185113.6609678
231;9.999999747378752e-06;317440;1651185117.09318
232;9.999999747378752e-06;319360;1651185120.5104773
233;9.999999747378752e-06;321920;1651185165.619352
234;9.999999747378752e-06;322560;1651185166.9558609
235;9.999999747378752e-06;323200;1651185168.1123798
236;9.999999747378752e-06;324480;1651185170.7114773
237;9.999999747378752e-06;327040;1651185175.7092464
238;9.999999747378752e-06;327680;1651185176.891128
239;9.999999747378752e-06;328320;1651185178.2121327
240;9.999999747378752e-06;330240;1651185181.877414
241;9.999999747378752e-06;332800;1651185187.0312307
242;9.999999747378752e-06;333440;1651185188.2234962
243;9.999999747378752e-06;334080;1651185189.5451267
244;9.999999747378752e-06;336640;1651185194.5013483
245;9.999999747378752e-06;339200;1651185199.4522831
246;9.999999747378752e-06;340480;1651185201.942177
247;9.999999747378752e-06;343680;1651185208.240078
248;9.999999747378752e-06;344320;1651185209.5833476
249;9.999999747378752e-06;347520;1651185215.720571
250;9.999999747378752e-06;348160;1651185217.0309002
251;9.999999747378752e-06;348800;1651185218.2164617
252;9.999999747378752e-06;349440;1651185219.5430765
253;9.999999747378752e-06;350080;1651185220.8800192
254;9.999999747378752e-06;350720;1651185222.034803
255;9.999999747378752e-06;351360;1651185223.3712757
256;9.999999747378752e-06;352000;1651185224.711623
257;9.999999747378752e-06;352640;1651185226.0376225
258;9.999999747378752e-06;353280;1651185227.2161963
259;9.999999747378752e-06;353920;1651185228.7048619
260;9.999999747378752e-06;355200;1651185231.199043
261;9.999999747378752e-06;357760;1651185236.329571
262;9.999999747378752e-06;358400;1651185237.7963908
263;9.999999747378752e-06;360960;1651185242.946524
264;9.999999747378752e-06;362880;1651185246.9507525
265;9.999999747378752e-06;365440;1651185252.0773418
266;9.999999747378752e-06;367360;1651185255.8348784
267;9.999999747378752e-06;368000;1651185257.2670825
268;9.999999747378752e-06;369280;1651185259.7239416
269;9.999999747378752e-06;369920;1651185261.1791077
270;9.999999747378752e-06;370560;1651185262.3190506
271;9.999999747378752e-06;371200;1651185263.6158042
272;9.999999747378752e-06;374400;1651185270.1382236
273;9.999999747378752e-06;375680;1651185272.8227487
274;9.999999747378752e-06;376960;1651185275.4310231
275;9.999999747378752e-06;377600;1651185276.581123
276;9.999999747378752e-06;378240;1651185277.9112005
277;9.999999747378752e-06;380800;1651185283.0870812
278;9.999999747378752e-06;381440;1651185284.559723
279;9.999999747378752e-06;382080;1651185285.6796446
280;9.999999747378752e-06;382720;1651185287.0080762
281;9.999999747378752e-06;384000;1651185331.5369158
282;9.999999747378752e-06;387840;1651185339.347238
283;9.999999747378752e-06;388480;1651185340.6793926
284;9.999999747378752e-06;389120;1651185341.9993188
285;9.999999747378752e-06;389760;1651185343.1685667
286;9.999999747378752e-06;391040;1651185345.864421
287;9.999999747378752e-06;392960;1651185349.7048793
288;9.999999747378752e-06;393600;1651185350.8617938
289;9.999999747378752e-06;395520;1651185354.4968104
290;9.999999747378752e-06;396800;1651185356.8640783
291;9.999999747378752e-06;398080;1651185359.335814
292;9.999999747378752e-06;399360;1651185361.6169484
293;9.999999747378752e-06;400000;1651185362.9620671
294;9.999999747378752e-06;403200;1651185368.9727454
295;9.999999747378752e-06;403840;1651185370.1231263
296;9.999999747378752e-06;405120;1651185372.6472647
297;9.999999747378752e-06;405760;1651185373.834398
