;avg_cost;Steps;Wall_Time
8908;-26.078826904296875;114022400;1649682288.141233
8909;-25.483592987060547;114035200;1649682288.2790508
8910;-25.465078353881836;114048000;1649682288.4153838
8911;-25.437421798706055;114060800;1649682288.5501018
8912;-25.98257827758789;114073600;1649682288.6862714
8913;-25.448516845703125;114086400;1649682288.818091
8914;-25.98421859741211;114099200;1649682288.9554768
8915;-25.910858154296875;114112000;1649682289.086403
8916;-25.801563262939453;114124800;1649682289.218079
8917;-25.600311279296875;114137600;1649682289.3521376
8918;-25.401952743530273;114150400;1649682289.488687
8919;-25.915077209472656;114163200;1649682289.6283405
8920;-26.282577514648438;114176000;1649682289.7674189
8921;-25.805076599121094;114188800;1649682289.9049425
8922;-25.677812576293945;114201600;1649682290.0343955
8923;-25.43453025817871;114214400;1649682290.1586392
8924;-25.710079193115234;114227200;1649682290.2872572
8925;-25.420860290527344;114240000;1649682290.394162
8926;-26.100704193115234;114252800;1649682290.5035827
8927;-25.596485137939453;114265600;1649682290.6160266
8928;-26.083436965942383;114278400;1649682290.7252243
8929;-25.426172256469727;114291200;1649682290.834118
8930;-25.996326446533203;114304000;1649682290.9445627
8931;-26.399063110351562;114316800;1649682291.0530477
8932;-26.144609451293945;114329600;1649682291.1620827
8933;-25.570858001708984;114342400;1649682291.2722933
8934;-25.284454345703125;114355200;1649682291.38472
8935;-25.91796875;114368000;1649682291.4914675
8936;-25.732969284057617;114380800;1649682291.5967424
8937;-25.920703887939453;114393600;1649682291.7054856
8938;-25.996795654296875;114406400;1649682291.8122714
8939;-26.27507781982422;114419200;1649682291.9266999
8940;-25.894920349121094;114432000;1649682292.0393045
8941;-25.983280181884766;114444800;1649682292.1489556
8942;-26.171796798706055;114457600;1649682292.262276
8943;-25.825077056884766;114470400;1649682292.3662817
8944;-25.679920196533203;114483200;1649682292.4789822
8945;-25.8660945892334;114496000;1649682292.5896003
8946;-25.704296112060547;114508800;1649682292.7010105
8947;-25.645313262939453;114521600;1649682292.8053384
8948;-25.564374923706055;114534400;1649682292.9114218
8949;-25.594219207763672;114547200;1649682293.0204241
8950;-25.278282165527344;114560000;1649682293.131251
8951;-25.652111053466797;114572800;1649682293.2447107
8952;-25.652263641357422;114585600;1649682293.3566678
8953;-25.693828582763672;114598400;1649682293.4652739
8954;-25.397891998291016;114611200;1649682293.5728993
8955;-25.810157775878906;114624000;1649682293.6829975
8956;-25.67398452758789;114636800;1649682293.7979617
8957;-26.288829803466797;114649600;1649682293.9090614
8958;-25.858905792236328;114662400;1649682294.0221043
8959;-25.64679718017578;114675200;1649682294.1336439
8960;-25.7265625;114688000;1649682294.2420533
8961;-25.389373779296875;114700800;1649682294.3539371
8962;-25.786407470703125;114713600;1649682294.4617152
8963;-25.545860290527344;114726400;1649682294.5710337
8964;-24.930625915527344;114739200;1649682294.6788418
8965;-25.767108917236328;114752000;1649682294.7869933
8966;-25.654064178466797;114764800;1649682294.8970199
8967;-25.659217834472656;114777600;1649682295.0134642
8968;-26.156328201293945;114790400;1649682295.1198313
8969;-26.138593673706055;114803200;1649682295.233253
8970;-25.47054672241211;114816000;1649682295.3373892
8971;-25.272109985351562;114828800;1649682295.444262
8972;-25.253671646118164;114841600;1649682295.5554593
8973;-25.894765853881836;114854400;1649682295.661377
8974;-26.3546085357666;114867200;1649682295.781375
8975;-25.494609832763672;114880000;1649682295.890525
8976;-26.051326751708984;114892800;1649682295.999184
8977;-25.934139251708984;114905600;1649682296.1065283
8978;-25.94351577758789;114918400;1649682296.2144203
8979;-25.530391693115234;114931200;1649682296.3214455
8980;-25.717266082763672;114944000;1649682296.4317415
8981;-25.552032470703125;114956800;1649682296.5408986
8982;-25.938749313354492;114969600;1649682296.6501884
8983;-25.603281021118164;114982400;1649682296.7582014
8984;-25.665390014648438;114995200;1649682296.865233
8985;-25.893829345703125;115008000;1649682296.9793167
8986;-25.88203239440918;115020800;1649682297.0921903
8987;-25.751171112060547;115033600;1649682297.2031586
8988;-25.915313720703125;115046400;1649682297.3154666
8989;-25.907032012939453;115059200;1649682297.4260905
8990;-25.072734832763672;115072000;1649682297.536575
8991;-25.614999771118164;115084800;1649682297.643872
8992;-25.739765167236328;115097600;1649682297.7570143
8993;-25.591718673706055;115110400;1649682297.8706665
8994;-26.006717681884766;115123200;1649682297.97938
8995;-25.826797485351562;115136000;1649682298.0899725
8996;-25.22445297241211;115148800;1649682298.1953661
8997;-25.753671646118164;115161600;1649682298.3050756
8998;-25.618515014648438;115174400;1649682298.414035
8999;-25.238046646118164;115187200;1649682298.5201304
9000;-25.772109985351562;115200000;1649682302.1504653
9001;-26.058828353881836;115212800;1649682302.2696517
9002;-25.180625915527344;115225600;1649682302.3795059
9003;-25.711952209472656;115238400;1649682302.490428
9004;-25.753515243530273;115251200;1649682302.596652
9005;-25.741092681884766;115264000;1649682302.711893
9006;-25.858280181884766;115276800;1649682302.824248
9007;-25.792579650878906;115289600;1649682302.931837
9008;-25.647422790527344;115302400;1649682303.043465
9009;-25.74835968017578;115315200;1649682303.1521044
9010;-26.338359832763672;115328000;1649682303.2624693
9011;-25.514062881469727;115340800;1649682303.372271
9012;-25.598670959472656;115353600;1649682303.482155
9013;-25.64679718017578;115366400;1649682303.590189
9014;-25.993515014648438;115379200;1649682303.6981704
9015;-25.807579040527344;115392000;1649682303.8058596
9016;-26.210468292236328;115404800;1649682303.9209685
9017;-25.466718673706055;115417600;1649682304.0308838
9018;-26.104923248291016;115430400;1649682304.1408207
9019;-25.80890655517578;115443200;1649682304.2469206
9020;-24.972578048706055;115456000;1649682304.3528423
9021;-25.30375099182129;115468800;1649682304.4663608
9022;-25.4503116607666;115481600;1649682304.5758305
9023;-25.901016235351562;115494400;1649682304.685529
9024;-25.447265625;115507200;1649682304.7954245
9025;-25.507736206054688;115520000;1649682304.9010644
9026;-26.04296875;115532800;1649682305.0106335
9027;-26.459062576293945;115545600;1649682305.1219254
9028;-26.499298095703125;115558400;1649682305.2337847
9029;-25.733592987060547;115571200;1649682305.340436
9030;-25.828826904296875;115584000;1649682305.4476326
9031;-25.881954193115234;115596800;1649682305.5550911
9032;-26.423593521118164;115609600;1649682305.665568
9033;-25.821563720703125;115622400;1649682305.7774138
9034;-25.920780181884766;115635200;1649682305.8869689
9035;-25.515703201293945;115648000;1649682305.9924836
9036;-25.320077896118164;115660800;1649682306.100216
9037;-25.338672637939453;115673600;1649682306.2098873
9038;-26.414608001708984;115686400;1649682306.3235755
9039;-25.760467529296875;115699200;1649682306.4379292
9040;-25.5535945892334;115712000;1649682306.5507274
9041;-25.73210906982422;115724800;1649682306.6619077
9042;-25.4950008392334;115737600;1649682306.773097
9043;-25.738359451293945;115750400;1649682306.9497573
9044;-26.181406021118164;115763200;1649682307.0692267
9045;-25.615936279296875;115776000;1649682307.17994
9046;-25.755390167236328;115788800;1649682307.2935967
9047;-25.583438873291016;115801600;1649682307.402778
9048;-26.036561965942383;115814400;1649682307.5127132
9049;-26.047576904296875;115827200;1649682307.6239047
9050;-26.001718521118164;115840000;1649682307.737182
9051;-25.848045349121094;115852800;1649682307.8476214
9052;-25.730937957763672;115865600;1649682307.955752
9053;-26.051639556884766;115878400;1649682308.067619
9054;-26.040000915527344;115891200;1649682308.1858833
9055;-25.90867042541504;115904000;1649682308.2987432
9056;-25.400625228881836;115916800;1649682308.4042726
9057;-25.832500457763672;115929600;1649682308.5157597
9058;-25.598827362060547;115942400;1649682308.623678
9059;-25.716796875;115955200;1649682308.7346897
9060;-25.66585922241211;115968000;1649682308.84085
9061;-25.899375915527344;115980800;1649682308.9516718
9062;-25.629608154296875;115993600;1649682309.059143
9063;-25.806249618530273;116006400;1649682309.1690123
9064;-25.982891082763672;116019200;1649682309.2838175
9065;-25.426328659057617;116032000;1649682309.3984659
9066;-25.63702964782715;116044800;1649682309.5476315
9067;-26.251407623291016;116057600;1649682309.6719825
9068;-25.3174991607666;116070400;1649682309.8061244
9069;-25.456562042236328;116083200;1649682309.944813
9070;-25.16046905517578;116096000;1649682310.0680559
9071;-25.336406707763672;116108800;1649682310.1935515
9072;-25.880390167236328;116121600;1649682310.3175814
9073;-25.692188262939453;116134400;1649682310.4407005
9074;-25.5926570892334;116147200;1649682310.567594
9075;-25.391094207763672;116160000;1649682310.69053
9076;-26.136014938354492;116172800;1649682310.8165658
9077;-25.608829498291016;116185600;1649682310.9374366
9078;-25.634220123291016;116198400;1649682311.0583956
9079;-25.854217529296875;116211200;1649682311.1754477
9080;-25.897579193115234;116224000;1649682311.2967193
9081;-26.07242202758789;116236800;1649682311.4236367
9082;-25.730703353881836;116249600;1649682311.5491683
9083;-25.438983917236328;116262400;1649682311.6669292
